Date,Open,High,Low,Close
2019-12-19,91.0,91.0,91.0,91.0
2019-12-20,90.5,91.0,90.5,91.0
2019-12-23,91.0,91.0,91.0,91.0
2019-12-24,91.0,91.0,91.0,91.0
2019-12-25,91.0,91.0,91.0,91.0
2019-12-26,91.0,91.0,91.0,91.0
2019-12-27,91.0,91.0,91.0,91.0
2019-12-30,91.0,91.0,91.0,91.0
2020-01-02,91.5,91.5,91.5,91.5
2020-01-03,91.5,91.5,91.5,91.5
2020-01-06,91.5,91.5,91.5,91.5
2020-01-07,88.0,88.0,85.75,85.75
2020-01-08,86.0,86.0,85.0,85.0
2020-01-09,84.75,84.75,84.5,84.5
2020-01-10,84.25,84.25,84.25,84.25
2020-01-13,84.25,84.25,84.25,84.25
2020-01-14,84.25,84.25,84.25,84.25
2020-01-15,85.75,85.75,85.75,85.75
2020-01-16,85.75,85.75,85.75,85.75
2020-01-17,85.5,86.25,85.0,86.25
